quest_id,achivement_id,question_text_es,answer_formula_es,question_text_en,answer_formula_en
quest_quantity,natural_operations,¿Cuanto es ${2d} + ${2d} ?,${0} + ${1},,
quest_quantity,natural_operations,¿Cuanto es ${2d} + ${2d} + ${2d} ?,${0} + ${1} + ${2},,
quest_quantity,natural_operations,Si tengo ${3d} dolares y se me caen ${2d} ¿Cuantos dolares me quedan?,${0} - ${1},,
quest_quantity,natural_operations,Si tengo ${3d} soles y presto ${2d} y ${2d} a mis amigos. ¿Cuantos soles me quedan?,${0} - ${1} - ${2},,
quest_quantity,natural_operations,Si ${1d} amigos me pagan ${2d} soles cada uno. ¿Cuanto tengo en total?,${0} * ${1},,
quest_quantity,natural_operations,¿Cuanto es ${1d} * ${1d} * ${2d} ?,${0} * ${1} * ${2},,
quest_quantity,natural_operations,¿Cuanto es ${1d} * ${1d} + ${2d} ?,${0} * ${1} * ${2},,
quest_quantity,natural_operations,Tenemos ${3d} soles y lo quiero dividir en ${1d} personas. ¿Aproximadamente cuánto recibiría cada una?,${0} / ${1},,
quest_quantity,natural_operations,"Inicialmente tengo ${3d} soles y regalo ${2d}. Luego, consigo ${2d} soles. ¿Cuanto tendría al final?",${0} - ${1} + ${2},,
quest_quantity,fraction_operations,¿Cuanto es ${1d} / ${1d} + ${1d} / ${1d} ?,${0} / ${1} + ${2} / ${3},,
quest_quantity,fraction_operations,¿Cuanto es ${1d} / ${1d} + ${1d} / ${1d} ?,${0} / ${1} - ${2} / ${3},,
quest_quantity,fraction_operations,¿Cuanto es ${1d} / ${1d} * ${1d} / ${1d} ?,${0} / ${1} * ${2} / ${3},,
quest_quantity,fraction_operations,¿Cuanto es ${1d} / ${1d} + ${1d} / ${1d} + ${1d} / ${1d} ?,${0} / ${1} + ${2} / ${3} + ${4} / ${5},,
quest_quantity,fraction_operations,¿Cuanto es ${1d} / ${1d} - ${1d} / ${1d} + ${1d} / ${1d} ?,${0} / ${1} - ${2} / ${3} + ${4} / ${5},,
quest_quantity,digit_recognizing,¿Cual es las decenas en ${1d} ${1d} ${1d} ${1d} ${1d} ?,${3},,
quest_quantity,digit_recognizing,¿Cual es las centenas en ${1d} ${1d} ${1d} ${1d} ${1d} ?,${2},,
quest_quantity,digit_recognizing,¿Cual es los millares en ${1d} ${1d} ${1d} ${1d} ${1d} ?,${1},,
quest_quantity,natural_properties,¿Cuanto es ( ${1d} + ${1d} ) * ${2d} ?,( ${0} + ${1} ) * ${2},,
quest_quantity,natural_properties,¿Cuanto es ${1d} * ( ${2d} - ${1d} ) * ${2d} ?,${0} * ( ${1} - ${2} ) * ${3},,
quest_quantity,real_operations,Se quiere comprar ${2d} sillas para el parque. Cada una cuesta ${3.2f} soles. ¿Cuanto cuesta en total?,${0} * ${1},,
quest_quantity,real_operations,"Tengo ${2d} monedas de 10 centimos, ${2d} de 1 sol y ${2d} de 50 centimos. ¿Cuantos soles tengo en total?",${0} * 0.10 + ${1} + ${2} * 0.5,,
quest_quantity,real_operations,Juan gana ${5.2f} soles en un año. María gana ${4.2f} menos. ¿Cuanto gana María en un año?,${0} - ${1},,
quest_quantity,real_operations,Tenía ${4.2f} soles. Compre un televisor a ${3.2f} y una silla a ${2.2f} ¿Cuantos soles me quedan?,${0} - ${1} - ${2},,
quest_series,equations_simple,Se tienen 2 recipientes. Pesan X y ${2d} kilogramos. Los dos juntos pesan ${2d} kilogramos. ¿Cuento pesa el primer recipiente?,${1} - ${0},,
quest_series,equations_simple,Halla X: ${-2d} + ${1d} x + ${2d} + ${1d} x= ${2d},( ${4} - ${2} - ${0} ) / ( ${1} + ${2} ),,
quest_series,equations_simple,Halla X: ${-1d} x + ${2d} + ${1d} = ${2d} - ${2d} x,( ${3} - ${2} - ${1} ) / ( ${4} - ${0} ),,
quest_series,equations_simple,Se tienen ${1d} papas y ${1d} camotes. Cada papa pesa X kg y cada camote pesa ${1d} kg. Si las papas y camotes juntos pesan ${3d} ¿Cuanto pesa cada papa?,( ${3} - ( ${1} * ${2} ) ) / ${0},,
quest_series,equations_simple,Halla X: ${-2d} + ${1d} x + ${2d} + ${1d} x= ${2d},( ${4} - ${2} - ${0} ) / ( ${1} + ${2} ),,
quest_series,series_geometric,"Halla X: 3, 15, X, 375",75,,
quest_series,series_geometric,"Halla el siguiente termino: 8, 24, 72",216,,
quest_series,series_geometric,"Halla el primer termino: X, 14, 28, 56",7,,
quest_series,series_geometric,"Halla X: 2, 4, X, 16, 32",8,,
quest_series,series_geometric,Encuentra el siguiente termino: 2; 10; 50; X,250,,
quest_series,series_geometric,Halla el termino faltante: 110; 220; 440; X; 1760,880,,
quest_series,series_additive_second_order,Halla el siguiente termino: 6; 15; 28; 45; X,66,,
quest_series,series_additive_second_order,Halla el primer termino: X; 6; 9; 14; 21; 30,5,,
quest_series,series_additive_second_order,Encuentra el termino faltante: 20; 29; X; 46; 64,31,,
quest_statistics,statistics_metrics,Halla el promedio de las siguientes edades: ${2d} ${2d} ${2d} ${2d} ${2d} ${2d},( ${0} + ${1} + ${2} + ${3} + ${4} + ${5} ) / 6,,
quest_statistics,statistics_metrics,Tus amigos tienen ${1d} ${1d} y ${1d} soles. ¿Cuantos soles tienen en promedio?,( ${0} + ${1} + ${2} ) / 3,,
quest_statistics,statistics_metrics,Halla la moda de las siguientes notas: 13 15 16 14 13 15 13 19 13 14 12,13,,
quest_statistics,statistics_metrics,"En un campeonato de futbol, se tienen los siguientes resultados: ${2d} ${2d} ${2d} ${2d} ¿Cuantos goles se metieron en promedio?",( ${0} + ${1} + ${2} + ${3} ) / 4,,
quest_statistics,statistics_metrics,Halla la moda de los siguientes resultados: 5 9 7 1 3 6 5 8 7 4 2 5 5 4 7,5,,
quest_statistics,statistics_metrics,Un salon hace una carrera y tiene los siguientes resultados: ${2d} ${2d} ${2d} ${2d} ${2d} ¿Cual es el promedio de tiempo del salon?,( ${0} + ${1} + ${2} + ${3} + ${4} ) / 5,,
quest_geometry,geometry_metrics,¿Cuanto es el perímetro de un triángulo de lados ${2d} ${2d} ${2d} ?,${0} + ${1} + ${2},,
quest_geometry,geometry_metrics,¿Cuanto es el perímetro de un rectangulo de lados ${2d} ${2d} ?,${0} * 2 + ${1} * 2,,
quest_geometry,geometry_metrics,¿Cuanto es el perímetro de un pentagono regular de lado ${2d} ?,${0} * 5,,
quest_geometry,geometry_metrics,¿Cuanto es el perímetro de un hexagono regular de lado ${2d} ?,${0} * 6,,
quest_geometry,geometry_metrics,¿Cuanto es el perímetro de un septagono regular de lado ${2d} ?,${0} * 7,,
quest_geometry,geometry_metrics,¿Cuanto es el perímetro de un octogono regular de lado ${2d} ?,${0} * 8,,
quest_geometry,geometry_metrics,¿Cuanto es el perímetro de un hexagono de lados ${2d} ${2d} ${2d} ${2d} ${2d} y ${2d} ?,${0} + ${1} + ${2} + ${3} + ${4} + ${5},,
quest_geometry,geometry_metrics,"Si avanzo ${2d} metros, luego voy ${2d} metros a la derecha y finalmente ${3d} metros hacia adelante. ¿Cuantos metros recorrí en total?",${0} + ${1} + ${2},,